,STATION,LAT,LON,distance_km
0,MB-01,55.217,-58.513,0.0
1,MB-02,55.25,-58.437,6.1
2,MB-03,55.313,-58.287,17.8
3,MB-04,55.372,-58.145,29.0
4,MB-05,55.478,-57.907,48.0
5,MB-06,55.577,-57.675,66.3
6,MB-07,55.678,-57.44,84.8
7,MB-08,55.747,-57.278,97.6
8,MB-09,55.77,-57.222,101.9
9,MB-10,55.872,-56.983,120.6
10,MB-11,55.978,-56.742,139.7
11,MB-12,56.078,-56.51,157.9
