,STATION,LAT,LON,distance_km
0,SI-01,53.233,-55.65,0.0
1,SI-02,53.333,-55.5,14.9
2,SI-03,53.41,-55.357,27.7
3,SI-04,53.533,-55.145,47.2
4,SI-05,53.617,-55.0,60.6
5,SI-06,53.757,-54.777,82.0
6,SI-07,53.917,-54.5,107.4
7,SI-08,54.082,-54.217,133.4
8,SI-09,54.2,-54.0,152.7
9,SI-10,54.355,-53.733,177.1
10,SI-11,54.5,-53.5,199.2
11,SI-12,54.633,-53.25,221.0
12,SI-13,54.783,-53.0,244.1
13,SI-14,55.067,-52.5,289.0
