,STATION,LAT,LON,distance_km
0,BB-01,48.733,-52.967,0.0
1,BB-02,48.8,-52.75,17.6
2,BB-03,48.833,-52.65,25.7
3,BB-04,48.917,-52.4,46.2
4,BB-05,49.025,-52.067,73.3
5,BB-06,49.1,-51.83,92.5
6,BB-07,49.19,-51.542,115.7
7,BB-08,49.28,-51.28,137.2
8,BB-09,49.367,-51.017,158.5
9,BB-10,49.517,-50.533,197.3
10,BB-11,49.688,-50.017,239.0
11,BB-12,49.85,-49.5,280.2
12,BB-13,50.0,-49.0,319.7
13,BB-14,50.177,-48.472,362.1
14,BB-15,50.332,-47.947,403.2
