,STATION,LAT,LON,distance_km
0,BI-01,57.058,-61.305,0.0
1,BI-02,57.117,-61.1,14.0
2,BI-03,57.25,-60.683,43.1
3,BI-04,57.38,-60.25,72.9
4,BI-05,57.517,-59.817,102.9
5,BI-06,57.617,-59.475,126.1
6,BI-07,57.643,-59.383,132.3
7,BI-08,57.76,-59.0,158.5
8,BI-09,57.888,-58.583,187.0
