SECTION,STATION,LAT,LONG,LONG
MAKKOVIK BANK,MB-02,55.25,58.44,-58.44
MAKKOVIK BANK,MB-03,55.31,58.29,-58.29
MAKKOVIK BANK,MB-04,55.37,58.15,-58.15
MAKKOVIK BANK,MB-05,55.48,57.91,-57.91
MAKKOVIK BANK,MB-06,55.58,57.68,-57.68
MAKKOVIK BANK,MB-07,55.68,57.44,-57.44
MAKKOVIK BANK,MB-08,55.75,57.28,-57.28
MAKKOVIK BANK,MB-09,55.77,57.22,-57.22
MAKKOVIK BANK,MB-10,55.87,56.98,-56.98
MAKKOVIK BANK,MB-11,55.98,56.74,-56.74
MAKKOVIK BANK,MB-12,56.08,56.51,-56.51
,,,,
BEACH ISLAND,BI-01,57.06,61.31,-61.31
BEACH ISLAND,BI-02,57.12,61.10,-61.10
BEACH ISLAND,BI-03,57.25,60.68,-60.68
BEACH ISLAND,BI-04,57.38,60.25,-60.25
BEACH ISLAND,BI-05,57.52,59.82,-59.82
BEACH ISLAND,BI-06,57.62,59.48,-59.48
BEACH ISLAND,BI-07,57.64,59.38,-59.38
BEACH ISLAND,BI-08,57.76,59.00,-59.00
BEACH ISLAND,BI-09,57.89,58.58,-58.58
,,,,
FUNK ISLAND,FI-01,49.66,53.91,-53.91
FUNK ISLAND,FI-02,49.76,53.60,-53.60
FUNK ISLAND,FI-03,49.84,53.33,-53.33
FUNK ISLAND,FI-04,49.92,53.08,-53.08
FUNK ISLAND,FI-05,50.01,52.80,-52.80
FUNK ISLAND,FI-06,50.05,52.65,-52.65
FUNK ISLAND,FI-07,50.11,52.45,-52.45
FUNK ISLAND,FI-08,50.20,52.14,-52.14
FUNK ISLAND,FI-09,50.25,52.00,-52.00
FUNK ISLAND,FI-10,50.30,51.81,-51.81
FUNK ISLAND,FI-11,50.43,51.35,-51.35
FUNK ISLAND,FI-12,50.53,51.02,-51.02
FUNK ISLAND,FI-13,50.56,50.89,-50.89
FUNK ISLAND,FI-14,50.60,50.77,-50.77
FUNK ISLAND,FI-15,50.63,50.65,-50.65
FUNK ISLAND,FI-16,50.71,50.38,-50.38
FUNK ISLAND,FI-17,50.78,50.11,-50.11
FUNK ISLAND,FI-18,50.86,49.83,-49.83
,,,,
STATION 27,S27-01,47.55,52.59,-52.59
STATION 27,S27-02,47.58,52.35,-52.35
STATION 27,S27-03,47.63,52.12,-52.12
STATION 27,S27-04,47.68,51.88,-51.88
STATION 27,S27-05,47.74,51.65,-51.65
STATION 27,S27-06,47.79,51.42,-51.42
STATION 27,S27-07,47.84,51.19,-51.19
STATION 27,S27-08,47.89,50.95,-50.95
STATION 27,S27-09,47.94,50.72,-50.72
STATION 27,S27-10,47.99,50.48,-50.48
STATION 27,S27-11,48.04,50.25,-50.25
STATION 27,S27-12,48.09,50.02,-50.02
STATION 27,S27-13,48.14,49.78,-49.78
STATION 27,S27-14,48.19,49.55,-49.55
STATION 27,S27-15,48.24,49.31,-49.31
STATION 27,S27-16,48.29,49.08,-49.08
STATION 27,S27-17,48.35,48.85,-48.85
STATION 27,S27-18,48.40,48.62,-48.62
STATION 27,S27-19,48.43,48.41,-48.41
,,,,
SOUTHEAST ST PIERRE BANK,SESPB-01,46.77,55.62,-55.62
SOUTHEAST ST PIERRE BANK,SESPB-02,46.44,55.51,-55.51
SOUTHEAST ST PIERRE BANK,SESPB-03,46.08,55.40,-55.40
SOUTHEAST ST PIERRE BANK,SESPB-04,45.59,55.26,-55.26
SOUTHEAST ST PIERRE BANK,SESPB-05,45.12,55.11,-55.11
SOUTHEAST ST PIERRE BANK,SESPB-06,44.99,55.07,-55.07
SOUTHEAST ST PIERRE BANK,SESPB-07,44.81,55.01,-55.01
SOUTHEAST ST PIERRE BANK,SESPB-08,44.43,54.89,-54.89
SOUTHEAST ST PIERRE BANK,SESPB-09,44.07,54.78,-54.78
,,,,
SOUTHWEST ST PIERRE BANK,SWSPB-01,46.77,55.62,-55.62
SOUTHWEST ST PIERRE BANK,SWSPB-02,46.50,56.03,-56.03
SOUTHWEST ST PIERRE BANK,SWSPB-03,46.18,56.51,-56.51
SOUTHWEST ST PIERRE BANK,SWSPB-04,45.94,56.88,-56.88
SOUTHWEST ST PIERRE BANK,SWSPB-05,45.79,57.11,-57.11
SOUTHWEST ST PIERRE BANK,SWSPB-06,45.62,57.38,-57.38
,,,,
SMITH SOUND,SS-01,48.25,53.43,-53.43
SMITH SOUND,SS-02,48.25,53.47,-53.47
SMITH SOUND,SS-03,48.23,53.52,-53.52
SMITH SOUND,SS-04,48.22,53.55,-53.55
SMITH SOUND,SS-05,48.20,53.58,-53.58
SMITH SOUND,SS-06,48.19,53.60,-53.60
SMITH SOUND,SS-07,48.18,53.63,-53.63
SMITH SOUND,SS-08,48.16,53.67,-53.67
SMITH SOUND,SS-09,48.16,53.70,-53.70
SMITH SOUND,SS-10,48.16,53.72,-53.72
SMITH SOUND,SS-12,48.16,53.75,-53.75
SMITH SOUND,SS-13,48.16,53.74,-53.74
SMITH SOUND,SS-14,48.16,53.74,-53.74
SMITH SOUND,SS-11,48.17,53.73,-53.73
SMITH SOUND,SS-15,48.17,53.73,-53.73
SMITH SOUND,SS-16,48.17,53.73,-53.73
SMITH SOUND,SS-17,48.17,53.74,-53.74
SMITH SOUND,SS-18,48.18,53.75,-53.75
SMITH SOUND,SS-19,48.19,53.79,-53.79
SMITH SOUND,SS-20,48.18,53.85,-53.85
SMITH SOUND,SS-21,48.19,53.87,-53.87
,,,,
RYANS BAY,RB-01,59.6333333333,63.5666666667,-63.5666666667
RYANS BAY,RB-02,59.7166666667,63.0666666667,-63.0666666667
RYANS BAY,RB-03,59.7833333333,62.5666666667,-62.5666666667
RYANS BAY,RB-04,59.8833333333,62.0833333333,-62.0833333333
RYANS BAY,RB-05,59.9833333333,61.5666666667,-61.5666666667
RYANS BAY,RB-06,60.0833333333,61.05,-61.05
,,,,
HUDSON STRAIT,HS-01,60.4383333333,64.125,-64.125
HUDSON STRAIT,HS-02,60.605,64.14,-64.14
HUDSON STRAIT,HS-03,60.77,64.155,-64.155
HUDSON STRAIT,HS-04,60.9366666667,64.17,-64.17
HUDSON STRAIT,HS-05,61.1033333333,64.1866666667,-64.1866666667
HUDSON STRAIT,HS-06,61.2683333333,64.2016666667,-64.2016666667
HUDSON STRAIT,HS-07,61.4366666667,64.2133333333,-64.2133333333
HUDSON STRAIT,HS-08,61.6016666667,64.23,-64.23
,,,,
FROBISHER BAY,FB-01,62.2116666667,64.28,-64.28
FROBISHER BAY,FB-02,62.1616666667,63.94,-63.94
FROBISHER BAY,FB-03,62.1116666667,63.6016666667,-63.6016666667
FROBISHER BAY,FB-04,62.0616666667,63.2616666667,-63.2616666667
FROBISHER BAY,FB-05,62.0133333333,62.9233333333,-62.9233333333
FROBISHER BAY,FB-06,61.9616666667,62.585,-62.585
FROBISHER BAY,FB-07,61.9116666667,62.2466666667,-62.2466666667
FROBISHER BAY,FB-08,61.8633333333,61.9116666667,-61.9116666667
FROBISHER BAY,FB-09,61.8116666667,61.575,-61.575
FROBISHER BAY,FB-10,61.76,61.2383333333,-61.2383333333
FROBISHER BAY,FB-11,61.71,60.9033333333,-60.9033333333
FROBISHER BAY,FB-12,61.6583333333,60.57,-60.57
,,,,
LOUISBOURG,LL--1,45.825,59.85,-59.85
LOUISBOURG,LL-2,45.658,59.702,-59.702
LOUISBOURG,LL-3,45.492,59.517,-59.517
LOUISBOURG,LL-4,45.158,59.175,-59.175
LOUISBOURG,LL-5,44.817,58.85,-58.85
LOUISBOURG,LL-6,44.475,58.508,-58.508
LOUISBOURG,LL-7,44.133,58.175,-58.175
LOUISBOURG,LL-8,43.783,57.833,-57.833
LOUISBOURG,LL-9,43.473,57.527,-57.527
,,,,
HALIFAX,HL-01,44.4,63.45,-63.45
HALIFAX,HL-02,44.267,63.317,-63.317
HALIFAX,HL-03,43.883,62.883,-62.883
HALIFAX,HL-04,43.479,62.451,-62.451
HALIFAX,HL-05,43.183,62.098,-62.098
HALIFAX,HL-05.5,42.94,61.8333,-61.8333
HALIFAX,HL-06,42.85,61.733,-61.733
HALIFAX,HL-07,42.533,61.4,-61.4
HALIFAX,HL-08,42.3785,61.3033,-61.3033
HALIFAX,HL-09,42.2333,61.2098,-61.2098
HALIFAX,HL-10,42.0306,61.0666,-61.0666
HALIFAX,HL-11,41.778,60.9082,-60.9082
HALIFAX,HL-12,41.4106,60.6766,-60.6766
HALIFAX,HL-13,41.0415,60.4443,-60.4443
HALIFAX,HL-14,40.6748,60.2147,-60.2147
,,,,
BROWNS BANK,BBL-1,43.25,65.48,-65.48
BROWNS BANK,BBL-2,43,65.48,-65.48
BROWNS BANK,BBL-3,42.76,65.483,-65.483
BROWNS BANK,BBL-4,42.45,65.483,-65.483
BROWNS BANK,BBL-5,42.133,65.5,-65.5
BROWNS BANK,BBL-6,42,65.51,-65.51
BROWNS BANK,BBL-7,41.867,65.35,-65.35
,,,,
CABOT STRAIT,CSL-01,46.958,60.217,-60.217
CABOT STRAIT,CSL-02,47.023,60.117,-60.117
CABOT STRAIT,CSL-03,47.1,59.992,-59.992
CABOT STRAIT,CSL-04,47.272,59.783,-59.783
CABOT STRAIT,CSL-05,47.433,59.558,-59.558
CABOT STRAIT,CSL-06,47.583,59.342,-59.342
,,,,
TRANSECT ILES DE LA MADELEINE,TIDM1,46.7422,60.9998,-60.9998
TRANSECT ILES DE LA MADELEINE,TIDM2,46.8325,61.2485,-61.2485
TRANSECT ILES DE LA MADELEINE,TIDM3,46.9172,61.4995,-61.4995
TRANSECT ILES DE LA MADELEINE,TIDM4,46.997,61.7502,-61.7502
TRANSECT ILES DE LA MADELEINE,TIDM4.5,47.1642,62.2488,-62.2488
TRANSECT ILES DE LA MADELEINE,TIDM5,47.1665,62.2498,-62.2498
TRANSECT ILES DE LA MADELEINE,TIDM6,47.3348,62.758,-62.758
TRANSECT ILES DE LA MADELEINE,TIDM6.4,47.4987,63.2487,-63.2487
TRANSECT ILES DE LA MADELEINE,TIDM7,47.4998,63.2498,-63.2498
TRANSECT ILES DE LA MADELEINE,TIDM8,47.6658,63.7492,-63.7492
TRANSECT ILES DE LA MADELEINE,TIDM9,47.8075,63.9875,-63.9875
